Author,Work
"Catenae (Novum Testamentum)","Catena in epistulam Petri i (catena Andreae) (e cod. Oxon. coll. nov. 58) "
"Catenae (Novum Testamentum)","Catena in epistulam Petri ii (catena Andreae) (e cod. Oxon. coll. nov. 58) "
"Catenae (Novum Testamentum)","Commentarius In Apocalypsin"
"Catenae (Novum Testamentum)","Commentarius In Apocalypsin (Pseudo-Oecumenii) (E Cod. Coislin.)"
"Catenae (Novum Testamentum)","Prooemium Pseudo-Oecumenii In Apocalypsin Commentarii (E Cod.)"
"Catenae (Novum Testamentum)","Supplementum Et Varietas Lectionis Ad Catenam In Evangelium Sancti Joannis (e cod. Bodl. B.)"
"Catenae (Novum Testamentum)","Supplementum et varietas lectionis ad catenam in evangelium sancti Lucae (e cod. Oxon. Bodl. Laud. 33)"
"Catenae (Novum Testamentum)","Supplementum et varietas lectionis ad commentarium Chrysostomi in evangelium sancti Matthaei (e cod. Oxon. Bodl. Auct. T.1.4)"
Catullus,Odes
Cebes,"Cebetis tabula"
"Celsus, Aulus Cornelius","De Medicina"
"Certamen Homeri et Hesiodi","Certamen Homeri et Hesiodi"
"Chariton of Aphrodisias","De Chaerea et Callirhoe"
"Chionis Epistulae",Epistles
"Chronicon Paschale","Chronicon Paschale"
Chrysippus,"Fragmenta  Moralia"
Chrysippus,"Fragmenta Logica et Physica"
Chrysippus,"Fragmenta ad singulos libros relata"
