Author,Work
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Galatas (Typus Parisinus) (E Cod. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Hebraeos (E Cod. Paris. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Philemonem (E Cod. Paris. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Philippenses (Typus Parisinus) (e cod. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Romanos (Typus Monacensis) (E Cod. Monac. gr. 412)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Romanos (Typus Vaticanus) (E Cod. Oxon. Bodl. Auct. E.2.20 [= Misc. 48])"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Titum (E Cod. Paris. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam I Ad Corinthios (Typus Vaticanus) (e Cod. Paris. gr. 227)"
"Catenae (Novum Testamentum)","Catena In Epistulam I Ad Thessalonicenses (Typus Parisinus)"
"Catenae (Novum Testamentum)","Catena In Epistulam I Ad Timotheum (E Cod. Paris. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam II Ad Corinthios (Catena Pseudo-Oecumenii)"
"Catenae (Novum Testamentum)","Catena In Epistulam II Ad Thessalonicenses (Typus Parisinus)"
"Catenae (Novum Testamentum)","Catena In Epistulam II Ad Timotheum (E Cod. Paris. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Jacobi (Catena Andreae)"
"Catenae (Novum Testamentum)","Catena In Joannem (Catena Integra) (e codd. Paris. Coislin. 23 + Oxon. Bodl. Auct. T.1.4)"
"Catenae (Novum Testamentum)","Catena In Lucam (Typus B) (e codd. Paris. Coislin. 23 + Oxon. Bodl. Misc. 182)"
"Catenae (Novum Testamentum)","Catena In Marcum (Recensio ii) (E Codd. Oxon. Bodl. Laud. 33 + Paris. Coislin. 23 + Paris. gr. 178)"
"Catenae (Novum Testamentum)","Catena In Matthaeum (Catena Integra) (E Cod. Paris. Coislin. Gr. 23)"
"Catenae (Novum Testamentum)","Catena in epistulam Joannis i (catena Andreae) (e cod. Oxon. coll. nov. 58)"
"Catenae (Novum Testamentum)","Catena in epistulam Joannis ii (catena Andreae) (e cod. Oxon. coll. nov. 58)."
"Catenae (Novum Testamentum)","Catena in epistulam Joannis iii (catena Andreae) (e cod. Oxon. coll. nov. 58)"
"Catenae (Novum Testamentum)","Catena in epistulam Juda (catena Andreae) (e cod. Oxon. coll. nov. 58)"
"Catenae (Novum Testamentum)","Catena in epistulam Petri i (catena Andreae) (e cod. Oxon. coll. nov. 58) "
